model,split,horizon,curve_rmse,curve_mae_mean,manifold_off_manifold_rmse,manifold_correction_gain,tangent_move_residual_rmse,arb_discount_monotonicity_violations,arb_forward_smoothness,arb_scenario_stability
stage_a_student_t_cvae,test,0,0.658638,0.522596,,,,,,
nss,test,1,0.062853,0.047387,,,,,,
pca_var,test,1,0.068259,0.05127,,,,,,
persistence,test,1,0.029119,0.019143,,,,,,
stage_b_sde_both,test,1,0.041014,0.031444,0.633313,-0.018383,0.003301,0.141527,0.048739,3.001517
stage_b_sde_jacobian,test,1,0.029167,0.019244,0.652452,0.000767,2.8e-05,0.166736,0.037529,2.980783
stage_b_sde_only,test,1,0.029175,0.019254,0.652587,0.0009,2.9e-05,0.166841,0.037523,2.980678
stage_b_sde_pde,test,1,0.041014,0.031444,0.633313,-0.018383,0.003301,0.141527,0.048739,3.001517
nss,test,5,0.110963,0.083561,,,,,,
pca_var,test,5,0.112102,0.085361,,,,,,
persistence,test,5,0.06233,0.042209,,,,,,
stage_b_sde_both,test,5,0.196749,0.156318,0.510134,-0.143849,0.049348,0.056618,0.106035,3.023404
stage_b_sde_jacobian,test,5,0.062944,0.042892,0.656634,0.00341,0.000325,0.170483,0.037946,2.975236
stage_b_sde_only,test,5,0.06301,0.042956,0.657195,0.003969,0.000338,0.170693,0.037881,2.974872
stage_b_sde_pde,test,5,0.196749,0.156318,0.510134,-0.143849,0.049348,0.056618,0.106035,3.023404
nss,test,21,0.16382,0.126665,,,,,,
pca_var,test,21,0.16483,0.128507,,,,,,
persistence,test,21,0.12375,0.088254,,,,,,
stage_b_sde_both,test,21,1.756637,1.459415,1.256975,0.617022,0.84791,0.1,3.048931,4.026205
stage_b_sde_jacobian,test,21,0.122123,0.087297,0.648878,-0.006523,0.001745,0.16015,0.037525,2.979608
stage_b_sde_only,test,21,0.122173,0.087348,0.647888,-0.007436,0.001799,0.159402,0.037868,2.980132
stage_b_sde_pde,test,21,1.756637,1.459415,1.256975,0.617022,0.84791,0.1,3.048931,4.026206
nss,test,63,0.231193,0.17574,,,,,,
pca_var,test,63,0.227774,0.175633,,,,,,
persistence,test,63,0.202391,0.155518,,,,,,
stage_b_sde_both,test,63,7.675253,6.290848,,,,,,
stage_b_sde_jacobian,test,63,0.246372,0.191664,,,,,,
stage_b_sde_only,test,63,0.23654,0.183494,,,,,,
stage_b_sde_pde,test,63,7.675253,6.290848,,,,,,
